"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
809,3,4,2,4,4,4,3,2,2
810,3,5,4,4,4,4,3,5,3
811,4,4,4,2,4,4,3,4,3
813,1,3,4,1,5,4,3,5,3
815,3,3,3,3,3,3,3,3,3
816,2,3,5,5,1,5,4,4,3
817,4,4,4,3,2,5,5,4,4
818,3,3,4,4,2,3,4,3,2
820,1,1,5,4,1,4,4,1,2
823,2,2,3,2,2,3,4,3,4
827,4,4,5,3,4,5,5,5,4
831,3,4,4,4,4,4,5,3,4
834,5,5,5,5,5,5,5,5,5
835,3,4,4,4,4,4,4,5,4
836,2,3,5,4,5,5,3,4,4
837,3,2,5,5,3,5,5,5,4
839,2,2,4,3,1,5,2,3,1
840,3,2,2,2,2,2,2,1,2
842,5,5,4,5,4,4,3,5,4
844,5,2,4,5,1,5,3,2,1
845,3,2,4,2,2,4,4,3,3
847,5,1,4,1,1,5,5,5,1
848,1,5,5,2,2,5,2,1,1
850,2,2,3,5,2,4,5,3,3
853,1,1,2,1,2,1,2,2,2
854,3,1,3,4,3,3,5,2,4
856,2,2,5,3,3,2,3,3,3
857,2,1,1,1,3,4,3,2,2
858,4,3,3,4,4,4,4,4,4
860,4,3,5,3,3,4,4,3,3
861,4,4,5,5,4,4,5,5,3
862,3,3,4,4,4,5,3,4,5
863,3,5,4,5,4,3,4,5,5
865,5,4,2,2,5,4,4,4,2
866,4,4,4,4,4,4,4,3,4
867,3,3,5,5,4,5,4,3,4
868,3,3,3,4,3,3,4,4,3
869,4,2,4,2,3,4,4,2,2
870,2,3,3,3,5,5,3,5,4
872,5,3,4,4,2,2,4,3,4
873,4,3,4,4,4,4,4,3,4
874,5,5,5,3,2,5,4,3,5
875,5,5,5,5,5,5,3,5,3
877,2,4,5,4,3,3,3,2,2
879,5,5,5,5,4,5,5,5,4
880,4,3,4,5,3,5,3,4,3
881,3,1,4,4,1,5,4,4,1
882,2,3,2,3,3,4,3,2,4
883,5,3,4,5,2,3,5,4,3
884,3,2,3,1,5,2,2,4,1
885,4,4,5,4,5,5,2,3,4
886,4,5,4,1,5,5,4,3,5
887,4,3,5,3,3,5,5,3,4
888,4,3,4,5,3,4,5,4,4
889,2,2,4,5,1,3,3,4,3
890,4,2,4,3,1,3,2,1,3
891,4,2,4,3,3,4,5,3,3
892,3,2,4,5,2,5,3,2,2
894,3,4,4,2,2,2,3,2,2
895,2,3,5,4,4,5,3,5,4
896,3,5,4,2,5,4,4,5,3
897,1,1,1,1,1,1,1,1,1
898,5,5,3,5,5,5,3,4,5
899,3,4,4,4,4,5,3,4,5
901,2,2,2,2,2,2,2,2,2
902,5,5,5,5,5,5,5,5,5
903,5,5,5,5,5,5,5,5,5
904,3,3,5,5,1,5,2,3,3
905,2,4,3,1,5,5,2,4,5
906,4,1,2,2,5,5,4,3,3
907,4,4,4,5,5,5,5,3,2
909,3,5,3,5,3,3,3,5,4
910,3,3,4,4,2,4,3,3,3
911,4,3,5,3,4,4,3,3,3
913,4,4,4,5,4,4,4,4,4
915,3,3,4,3,5,5,3,2,4
916,4,2,4,3,2,4,2,3,3
917,2,4,3,4,4,3,4,3,2
918,3,3,4,4,4,4,3,2,2
919,3,2,4,4,4,5,3,3,3
920,3,2,5,4,5,5,5,4,5
922,2,3,4,3,2,3,3,2,3
923,4,4,4,4,4,4,4,4,4
924,4,3,3,5,5,5,5,4,5
925,5,3,4,5,5,5,5,4,3
926,3,4,3,4,3,4,4,3,3
927,1,3,3,1,3,3,5,4,3
928,3,3,3,4,4,3,3,2,3
929,2,1,5,3,3,4,4,2,3
934,5,3,4,5,3,4,5,3,5
935,2,2,5,5,5,5,4,3,4
936,2,2,2,1,2,2,2,3,3
937,3,3,5,5,4,4,4,4,4
939,4,2,3,4,1,1,3,3,2
941,4,4,3,4,3,4,4,4,4
944,4,4,5,4,4,5,4,5,5
946,3,3,4,4,4,5,4,3,4
948,3,3,4,4,4,4,2,4,4
949,3,5,2,4,3,5,5,4,3
950,3,2,4,2,2,4,3,3,3
951,5,3,2,4,3,2,2,2,3
956,3,3,5,5,3,4,4,4,4
957,3,3,4,3,4,4,4,3,4
959,2,2,5,5,2,3,3,3,2
962,4,3,4,1,4,4,4,5,2
965,3,3,5,5,5,4,4,5,4
966,3,2,4,1,1,5,5,5,3
967,2,4,4,3,5,5,4,5,2
