"userid","mood","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
46,"religious",0,0,0,0,0,0,0,0,0
46,"repetitive",0,0,0,0,0,0,0,0,0
46,"rhythmical",1,0,0,0,0,0,0,0,0
46,"romantic",0,0,0,0,0,0,0,0,0
46,"sentimental",0,0,0,0,0,0,0,0,0
46,"severe",0,0,0,0,0,0,0,0,0
46,"sexy",0,0,0,0,0,0,0,0,0
47,"animated",1,0,0,0,0,0,0,0,0
47,"bitchy",0,0,0,0,0,0,0,0,1
47,"deep",0,0,0,0,1,0,0,0,0
47,"dreamy",0,0,0,0,0,0,1,0,0
47,"encouraged",0,0,0,0,0,1,0,0,0
47,"free",0,0,0,0,0,0,0,0,1
47,"friendly",0,0,0,0,1,0,0,0,0
47,"funny",0,0,0,0,0,0,0,1,0
47,"furious",0,0,0,0,0,0,0,1,0
47,"in_love",0,0,0,0,0,0,1,0,0
47,"pulsating",0,0,0,0,1,0,0,0,0
47,"reflective",0,0,0,0,1,0,0,0,0
47,"retro",0,0,1,0,0,0,0,0,0
47,"romantic",0,0,0,0,0,0,0,0,1
47,"sexy",0,0,0,0,0,0,0,0,1
47,"stylish",0,0,0,0,1,0,0,0,0
47,"successful",0,0,0,0,0,0,1,0,0
47,"tragic",0,0,0,0,1,0,0,0,0
47,"uplifting",0,0,0,0,0,0,0,0,1
49,"aggressive",1,0,0,0,0,1,1,1,0
49,"amazed",0,0,0,0,1,1,1,0,1
49,"bitchy",1,0,0,0,0,0,1,1,0
49,"celebratory",0,0,0,0,0,0,0,0,0
49,"deep",0,1,0,0,0,0,0,0,0
49,"delighted",1,0,1,0,0,0,1,0,0
49,"dramatic",0,1,0,0,0,0,0,0,0
49,"emotional",0,1,0,0,0,0,0,0,0
49,"encouraged",0,1,0,1,0,0,0,1,0
49,"enthusiastic",1,1,1,1,1,1,1,1,1
49,"euphoric",0,0,0,0,0,0,0,0,0
49,"fantastic",1,0,0,0,0,0,1,0,0
49,"festive",0,0,1,0,0,0,0,0,1
49,"friendly",1,0,1,0,0,0,1,0,1
49,"funny",1,0,0,0,0,0,1,0,1
49,"furious",0,0,0,0,0,0,1,0,0
49,"glorious",0,0,0,0,0,0,1,1,0
49,"good",1,1,1,1,1,1,1,1,1
49,"graceful",1,0,0,0,1,1,1,1,1
49,"happy",1,1,1,0,1,1,1,1,1
49,"heroic",0,0,0,0,1,0,1,0,1
49,"hot",1,0,0,0,0,0,1,1,0
49,"in_love",0,1,0,0,1,1,0,0,1
49,"inspired",0,0,0,1,0,0,0,0,0
49,"joyful",0,0,1,0,1,1,1,0,1
49,"jumpy",,,,,,,,,
49,"liberated",0,0,0,0,0,0,0,0,0
49,"light_hearted",0,1,0,0,0,1,1,0,0
49,"moody",,,,,,,,,
49,"motivational",1,0,0,0,0,0,1,1,0
49,"nocturnal",0,0,0,0,0,0,0,0,0
49,"peaceful",0,1,0,0,0,1,1,0,0
49,"positive",0,0,0,0,0,1,0,0,1
49,"powerful",1,0,0,0,0,0,1,1,0
49,"reflective",0,0,0,0,0,0,0,0,0
49,"religious",0,0,0,0,0,1,0,0,0
49,"retro",0,0,0,0,0,0,0,0,1
49,"rhythmical",1,0,0,0,0,0,1,0,0
49,"romantic",0,1,0,0,1,1,0,0,1
49,"sensual",,,,,,,,,
49,"sentimental",0,0,0,0,0,0,0,0,0
49,"serene",,,,,,,,,
49,"severe",,,,,,,,,
49,"sexy",0,1,0,0,0,1,0,0,1
49,"slow",0,1,0,0,0,1,0,0,0
49,"soft",0,1,0,0,1,1,0,0,1
49,"sorry",0,1,0,0,0,1,0,0,0
49,"spiritual",0,0,0,1,0,0,0,0,0
49,"spontaneous",0,0,0,0,0,0,1,0,0
49,"strong",0,0,0,0,0,0,1,1,0
49,"stylish",0,0,0,0,0,1,0,0,1
49,"successful",,,,,,,,,
49,"tragic",0,1,0,0,0,0,0,0,0
51,"adorable",0,0,0,0,0,0,0,0,0
51,"aggressive",0,0,0,0,0,0,0,0,0
51,"animated",0,0,0,0,0,0,0,0,0
51,"dramatic",0,0,0,0,0,0,0,0,0
51,"encouraged",0,0,0,0,0,0,0,0,0
51,"happy",0,1,0,0,0,0,0,0,0
51,"in_love",0,0,0,0,0,0,0,0,0
51,"jumpy",0,0,0,0,0,0,0,0,0
51,"liberated",0,0,0,0,0,0,0,0,0
51,"pleasant",0,0,0,0,0,0,0,0,0
51,"sexy",0,0,0,0,0,0,0,0,0
