"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
554,2,4,2,1,2,3,2,4,2
556,4,1,4,3,5,5,1,2,3
557,1,1,2,1,2,2,3,3,2
558,5,5,5,5,4,5,5,5,5
559,3,4,5,4,5,5,4,5,4
560,3,4,3,2,3,4,5,4,2
562,5,5,5,5,5,5,5,5,5
564,3,4,5,5,5,5,2,3,2
566,3,3,3,3,3,3,3,3,1
567,2,2,5,3,5,5,5,3,2
568,3,3,3,3,3,3,3,3,3
569,1,3,3,1,1,5,1,3,3
571,4,5,4,5,5,5,4,4,5
572,4,3,4,2,4,5,4,4,4
573,5,2,4,3,5,5,5,4,3
574,3,5,4,2,4,5,5,3,4
577,4,4,4,3,3,3,3,3,4
578,4,1,4,1,5,5,4,1,5
579,1,4,4,1,5,5,4,5,1
582,1,1,5,1,1,1,1,5,1
584,3,1,4,2,3,2,3,2,2
585,4,5,3,3,5,5,4,5,5
586,4,4,3,2,5,5,3,4,3
587,3,5,4,4,5,5,4,5,3
588,3,3,4,3,4,4,4,4,4
589,2,5,3,4,3,3,3,4,3
593,5,5,5,5,5,5,5,5,5
594,1,1,1,1,1,1,1,1,1
595,3,4,3,1,2,5,4,5,3
596,4,5,4,4,5,5,5,5,5
598,4,4,5,3,5,5,5,4,5
599,4,3,4,4,3,3,4,4,3
601,3,2,2,3,1,1,4,4,3
602,5,4,5,3,4,5,4,4,3
604,4,3,5,3,5,4,5,3,5
607,5,5,5,3,5,5,5,5,4
609,4,4,4,3,5,5,5,5,4
612,2,5,5,1,5,5,3,5,2
613,4,4,4,4,5,5,3,4,4
616,1,1,4,1,1,1,3,1,1
617,4,2,3,2,4,5,5,5,3
620,3,3,3,2,5,5,4,5,3
621,4,4,5,3,5,5,5,3,3
622,3,3,5,3,4,5,5,4,4
624,3,2,3,2,5,5,3,2,4
625,1,3,1,2,2,1,1,2,2
629,2,3,1,1,4,4,3,4,2
635,1,3,2,3,5,5,3,2,3
636,1,2,1,1,5,4,1,1,3
637,4,2,4,2,4,5,5,4,4
638,3,2,5,4,3,5,2,1,4
639,5,5,5,3,1,3,1,4,5
641,4,3,2,3,3,2,3,2,4
642,5,5,4,4,4,5,4,5,4
643,1,1,4,2,3,3,4,4,4
644,4,4,4,5,5,4,4,4,4
650,4,5,1,5,3,5,5,5,4
652,4,3,3,3,4,5,4,2,2
653,2,1,1,1,1,1,4,1,1
655,4,2,3,2,3,5,5,4,4
656,4,5,4,5,5,5,5,5,5
657,4,5,4,1,5,5,2,5,5
659,3,5,3,3,5,5,3,4,4
660,4,5,4,1,5,5,3,4,4
661,5,5,4,4,4,3,5,4,4
664,4,1,4,2,2,4,4,2,2
665,2,5,4,2,5,5,5,2,5
666,4,4,5,2,5,5,4,4,4
668,4,3,2,3,4,5,2,3,3
669,3,2,5,2,4,5,5,4,3
671,5,1,5,4,1,5,5,2,1
674,4,4,2,2,2,3,5,4,3
675,3,2,1,1,3,5,4,5,2
678,3,2,4,2,4,5,5,3,2
679,2,1,4,1,5,4,5,5,5
680,4,4,4,3,3,4,4,4,4
681,2,1,2,1,3,5,2,1,2
682,3,5,4,5,5,5,2,2,4
685,4,4,3,3,4,4,4,4,3
686,2,4,1,4,3,3,3,4,3
689,3,4,4,4,3,4,5,4,4
691,2,4,4,2,4,5,4,4,3
692,5,5,3,4,5,5,4,5,5
693,4,3,4,2,4,5,3,4,3
694,3,1,1,1,1,3,3,3,2
695,4,1,5,2,2,3,4,4,2
697,4,4,4,5,4,4,4,3,4
700,3,5,2,1,1,5,5,5,5
701,5,3,4,3,4,4,5,3,3
704,3,3,4,3,3,4,5,4,3
706,2,2,3,3,3,3,4,3,3
708,4,4,3,1,5,5,2,5,2
709,5,5,5,5,5,5,5,5,5
710,4,3,2,2,5,5,4,3,3
712,4,5,5,4,4,4,3,4,4
713,4,2,2,2,2,3,4,2,4
714,4,4,2,3,5,5,5,4,4
715,5,5,5,5,5,5,5,5,5
718,3,3,4,4,4,4,4,4,4
719,4,1,5,5,4,5,4,4,5
720,3,3,5,3,2,3,5,4,2
721,4,4,4,2,4,2,4,3,2
722,4,4,5,2,5,5,4,4,5
723,1,1,1,1,5,5,5,2,1
724,5,5,1,1,3,5,5,5,3
725,2,4,2,1,4,5,5,5,3
726,4,3,3,3,2,4,3,4,3
727,4,5,2,3,3,4,5,3,3
728,2,4,4,3,3,4,3,1,3
729,2,2,4,4,4,4,4,5,3
731,2,3,3,3,5,5,4,4,3
732,5,4,4,5,2,4,4,5,4
733,4,4,2,2,2,5,4,3,4
734,5,3,4,3,3,4,4,3,3
735,4,3,4,3,4,3,4,3,3
737,2,3,3,1,5,5,2,4,2
739,3,3,2,2,4,4,3,2,3
740,2,1,2,1,1,1,3,1,1
741,5,4,4,3,4,4,5,5,5
742,5,4,4,5,4,4,3,4,4
743,3,1,1,1,1,1,3,4,2
744,3,5,2,1,1,5,4,3,2
745,5,5,5,5,3,5,5,5,3
746,1,3,2,4,4,5,4,2,4
748,5,1,5,5,2,5,3,4,2
749,5,4,3,5,4,5,3,4,4
750,4,5,3,2,5,4,5,5,4
751,3,5,3,4,3,4,4,4,4
752,3,5,5,1,5,5,5,5,4
756,3,3,3,1,4,2,4,1,3
758,4,5,3,4,5,5,3,3,3
760,3,3,3,4,2,3,3,3,2
763,3,3,2,2,4,3,4,3,3
765,4,3,4,2,4,2,3,5,4
767,3,5,2,4,1,3,4,3,3
768,2,4,3,1,4,4,4,3,3
769,3,2,3,2,4,3,4,3,3
772,2,1,3,2,1,2,4,4,1
773,2,5,5,2,5,5,5,5,2
774,4,2,2,1,3,5,4,5,1
775,3,3,3,4,4,3,3,4,3
777,5,3,3,2,5,5,5,5,5
779,4,3,4,3,3,3,3,3,3
780,4,3,3,4,3,4,4,3,4
781,5,5,5,4,5,5,5,5,5
782,3,3,3,4,4,4,3,2,3
784,2,5,4,4,3,5,4,5,5
786,4,4,3,4,3,4,3,4,3
787,2,1,4,1,5,5,3,3,4
788,3,3,3,3,3,3,3,3,3
790,4,5,5,4,2,5,2,3,4
791,5,2,3,2,5,5,5,4,5
796,2,3,4,2,5,5,4,4,2
797,3,3,4,2,5,5,5,5,4
799,4,5,3,3,5,5,5,5,4
800,4,3,2,2,4,5,4,2,3
801,5,5,5,5,2,4,5,5,5
802,3,5,5,4,3,5,5,5,4
803,4,3,2,3,4,4,4,3,3
806,2,3,4,3,5,5,4,4,2
807,1,2,4,2,1,4,3,3,3
809,1,1,3,1,5,5,4,4,3
810,2,4,3,2,4,5,3,5,5
811,4,4,4,3,4,4,4,4,3
813,2,3,4,1,5,4,3,5,3
815,3,3,3,2,3,3,4,2,3
816,4,4,4,5,5,5,4,5,4
817,3,4,5,2,3,5,5,4,4
818,3,4,3,2,2,4,4,4,2
820,4,2,1,1,5,5,5,5,5
823,2,3,3,3,4,5,5,3,3
827,4,4,5,3,5,5,5,5,4
831,3,4,4,4,4,4,4,3,4
834,5,5,5,5,5,5,5,5,5
835,4,4,4,3,4,4,4,4,4
836,3,5,5,4,5,5,4,4,5
837,5,3,4,3,5,5,4,5,5
839,2,3,4,3,2,4,2,3,2
840,3,3,2,5,4,3,3,4,2
842,4,5,5,5,4,4,4,5,4
844,5,1,5,3,1,5,2,2,1
845,3,3,2,3,3,2,2,4,3
847,5,1,5,1,1,5,5,1,1
848,1,5,4,1,5,5,5,4,5
850,1,1,4,1,5,5,5,4,4
853,3,2,2,2,2,1,3,2,2
854,3,1,4,1,5,4,4,3,4
856,3,4,1,1,3,3,3,5,4
857,4,4,4,4,4,4,4,4,4
858,3,3,3,3,4,4,4,4,4
860,4,4,3,2,5,5,4,3,4
861,4,4,5,5,4,4,4,4,3
862,4,1,4,2,5,5,3,5,3
863,5,4,4,2,5,4,4,5,3
865,4,3,4,2,4,3,4,4,2
866,5,4,3,3,5,5,5,4,4
867,1,4,4,2,5,5,4,2,2
868,3,3,4,3,3,3,4,4,3
869,4,4,3,1,4,4,4,4,4
870,2,4,3,3,5,5,3,5,4
872,5,2,3,3,2,2,4,4,5
873,4,3,4,3,5,5,5,3,4
874,5,5,5,3,2,5,4,2,4
875,5,5,5,5,5,5,5,5,5
877,2,3,4,1,5,4,5,2,5
879,5,5,5,5,5,5,5,5,5
880,4,4,4,4,3,5,3,3,4
881,4,5,4,4,1,4,4,4,1
882,3,3,3,3,3,3,3,3,3
883,5,3,2,2,3,5,4,5,3
884,3,1,4,1,5,1,2,3,2
885,3,3,4,3,4,5,4,4,4
886,4,5,4,1,5,5,4,4,5
887,5,5,4,3,3,5,5,5,4
888,4,3,4,4,3,5,5,4,4
889,3,4,4,2,4,4,2,5,5
890,4,3,3,3,1,2,3,2,2
891,4,3,4,4,5,5,5,5,4
892,3,5,4,3,5,5,5,5,4
894,1,1,4,1,4,4,1,4,1
